t,AE
7.4e-05,-0.204006958007812
7.41e-05,-0.194633941650391
7.42e-05,-0.1812548828125
7.43e-05,-0.165203247070313
7.44e-05,-0.146589813232422
7.45e-05,-0.125444183349609
7.46e-05,-0.102219390869141
7.47e-05,-0.0780654907226563
7.48e-05,-0.0542555236816406
7.49e-05,-0.0313194274902344
7.5e-05,-0.0087506103515625
7.51e-05,0.0140315246582031
7.52e-05,0.0363613891601563
7.53e-05,0.0552593994140625
7.54e-05,0.0662762451171875
7.55e-05,0.0656626892089844
7.56e-05,0.0527362060546875
7.57e-05,0.031680908203125
7.58e-05,0.0107905578613281
7.59e-05,-0.00104690551757812
7.6e-05,0.00199859619140625
7.61e-05,0.0210891723632812
7.62e-05,0.0519476318359375
7.63e-05,0.085809326171875
7.64e-05,0.113846588134766
7.65e-05,0.129355010986328
7.66e-05,0.129192352294922
7.67e-05,0.114604949951172
7.68e-05,0.089521484375
7.69e-05,0.0580482482910156
7.7e-05,0.023428955078125
7.71e-05,-0.0122697448730469
7.72e-05,-0.0480899047851562
7.73e-05,-0.0831742858886719
7.74e-05,-0.115531311035156
7.75e-05,-0.143192443847656
7.76e-05,-0.164043273925781
7.77e-05,-0.176824188232422
7.78e-05,-0.181195373535156
7.79e-05,-0.177814636230469
7.8e-05,-0.168409423828125
7.81e-05,-0.154975433349609
7.82e-05,-0.139649353027344
7.83e-05,-0.124644012451172
7.84e-05,-0.111715393066406
7.85e-05,-0.103012542724609
7.86e-05,-0.10039306640625
7.87e-05,-0.104277801513672
7.88e-05,-0.114694671630859
7.89e-05,-0.130868530273438
7.9e-05,-0.150656890869141
7.91e-05,-0.171926879882812
7.92e-05,-0.191861724853516
7.93e-05,-0.205551452636719
7.94e-05,-0.206815795898437
7.95e-05,-0.189767608642578
7.96e-05,-0.151039276123047
7.97e-05,-0.0924443054199219
7.98e-05,-0.0216383361816406
7.99e-05,0.0503648376464844
8e-05,0.116514434814453
8.01e-05,0.179035491943359
8.02e-05,0.250228118896484
8.03e-05,0.345893402099609
8.04e-05,0.475014801025391
8.05e-05,0.625735931396484
8.06e-05,0.762814788818359
8.07e-05,0.837705230712891
8.08e-05,0.806097717285156
8.09e-05,0.648826599121094
8.1e-05,0.386037292480469
8.11e-05,0.0717041015625
8.12e-05,-0.228415679931641
8.13e-05,-0.451728973388672
8.14e-05,-0.561756896972656
8.15e-05,-0.559458618164063
8.16e-05,-0.471344451904297
8.17e-05,-0.336016998291016
8.18e-05,-0.189184265136719
8.19e-05,-0.0551112365722656
8.2e-05,0.0546635437011719
8.21e-05,0.137921447753906
8.22e-05,0.197756652832031
8.23e-05,0.237753143310547
8.24e-05,0.260293884277344
8.25e-05,0.267677612304688
8.26e-05,0.263400268554688
8.27e-05,0.253046112060547
8.28e-05,0.244153442382813
8.29e-05,0.245163116455078
8.3e-05,0.2620654296875
8.31e-05,0.295854949951172
8.32e-05,0.341059875488281
8.33e-05,0.385896911621094
8.34e-05,0.413873901367187
8.35e-05,0.409547576904297
8.36e-05,0.363571166992188
8.37e-05,0.275291442871094
8.38e-05,0.154039764404297
8.39e-05,0.0173695373535156
8.4e-05,-0.115179290771484
8.41e-05,-0.225884246826172
8.42e-05,-0.302698211669922
8.43e-05,-0.3421484375
8.44e-05,-0.349642791748047
8.45e-05,-0.335225067138672
8.46e-05,-0.310518341064453
8.47e-05,-0.284893798828125
8.48e-05,-0.256628570556641
8.49e-05,-0.199174652099609
8.5e-05,-0.0701129150390625
8.51e-05,0.133917694091797
8.52e-05,0.352828216552734
8.53e-05,0.495965881347656
8.54e-05,0.437276153564453
8.55e-05,0.0990565490722656
8.56e-05,-0.424390716552734
8.57e-05,-0.958356170654297
8.58e-05,-1.34732833862305
8.59e-05,-1.45315155029297
8.6e-05,-1.27491989135742
8.61e-05,-0.955655975341797
8.62e-05,-0.611138000488281
8.63e-05,-0.335072326660156
8.64e-05,-0.194262542724609
8.65e-05,-0.158423004150391
8.66e-05,-0.174259948730469
8.67e-05,-0.20439697265625
8.68e-05,-0.199189453125
8.69e-05,-0.132698211669922
8.7e-05,0.00429656982421875
8.71e-05,0.223414001464844
8.72e-05,0.501035461425781
8.73e-05,0.78727783203125
8.74e-05,1.02759841918945
